ecosystem,package,version,category,git_total_commits,git_total_contributors,git_active_contributors_90d,git_bus_factor,git_days_since_last_commit,git_commits_in_window,git_first_commit,git_last_commit
npm,express,5.1.0,high-impact,6137.0,383.0,15.0,4.0,4.0,86.0,2009-06-26T11:56:18-07:00,2026-04-07T02:28:04+05:30
npm,lodash,4.17.21,high-impact,,,,,,,,
npm,axios,1.7.9,high-impact,,,,,,,,
npm,debug,4.4.0,high-impact,553.0,127.0,2.0,21.0,8.0,5.0,2011-11-28T17:08:27-08:00,2026-04-01T14:03:30+02:00
npm,chalk,5.4.1,high-impact,369.0,71.0,1.0,9.0,80.0,6.0,2013-08-03T02:16:26+02:00,2026-01-27T07:30:36+01:00
npm,semver,7.7.1,high-impact,540.0,104.0,4.0,15.0,1.0,23.0,2011-02-11T15:41:41-08:00,2026-04-16T22:32:20+05:30
npm,minimatch,10.0.1,high-impact,378.0,36.0,1.0,1.0,18.0,48.0,2011-07-15T19:32:21-07:00,2026-03-30T11:11:43-07:00
npm,qs,6.14.0,high-impact,,,,,,,,
npm,commander,13.1.0,high-impact,1491.0,204.0,2.0,11.0,76.0,66.0,2011-08-14T11:40:38-07:00,2026-01-31T10:45:09+09:00
npm,glob,11.0.1,high-impact,779.0,54.0,1.0,1.0,25.0,51.0,2009-11-01T21:03:59-08:00,2026-03-22T18:52:28-07:00
npm,ws,8.18.1,high-impact,1942.0,208.0,1.0,7.0,27.0,22.0,2011-11-07T22:30:11+01:00,2026-03-21T18:12:40+01:00
npm,mime,4.0.6,high-impact,414.0,56.0,0.0,3.0,153.0,7.0,2010-02-24T18:06:15-07:00,2025-11-15T04:32:30-10:00
npm,yargs,17.7.2,high-impact,1849.0,307.0,1.0,34.0,54.0,13.0,2010-09-09T20:59:20-08:00,2026-02-22T17:53:18+01:00
npm,uuid,11.1.0,high-impact,614.0,85.0,4.0,3.0,12.0,25.0,2010-12-28T11:06:46-08:00,2026-04-05T10:34:30-07:00
npm,cookie,1.0.2,high-impact,380.0,46.0,3.0,3.0,57.0,19.0,2012-05-28T19:56:02-04:00,2026-02-19T11:42:04-08:00
pypi,requests,2.32.3,high-impact,6428.0,778.0,9.0,50.0,4.0,81.0,2011-02-13T13:41:18-05:00,2026-04-05T09:31:02-06:00
pypi,flask,3.1.3,high-impact,5529.0,856.0,3.0,49.0,3.0,116.0,2010-04-06T13:12:57+02:00,2026-04-05T12:32:14-07:00
pypi,click,8.1.8,high-impact,,,,,,,,
pypi,pydantic,2.11.1,high-impact,,,,,,,,
pypi,fastapi,0.115.12,high-impact,,,,,,,,
pypi,httpx,0.28.1,high-impact,1523.0,245.0,1.0,20.0,53.0,17.0,2019-04-04T13:27:55+01:00,2026-02-23T10:40:42Z
pypi,jinja2,3.1.5,high-impact,2949.0,340.0,0.0,8.0,299.0,22.0,2007-02-26T22:17:32+01:00,2025-06-14T13:34:58-07:00
pypi,urllib3,2.3.0,high-impact,4356.0,397.0,9.0,30.0,10.0,110.0,2009-12-10T21:33:08-08:00,2026-04-07T15:13:29-06:00
pypi,certifi,2025.1.31,high-impact,337.0,41.0,2.0,6.0,3.0,41.0,2011-12-28T00:18:09-05:00,2026-04-13T20:31:50-04:00
pypi,six,1.17.0,micro-dep,,,,,,,,
npm,body-parser,2.2.0,security-critical,,,,,,,,
npm,raw-body,3.0.0,security-critical,537.0,18.0,0.0,1.0,143.0,18.0,2013-09-13T19:46:27-07:00,2025-11-25T19:17:01+01:00
npm,type-is,2.0.1,security-critical,,,,,,,,
npm,send,1.2.0,security-critical,,,,,,,,
npm,serve-static,2.2.0,security-critical,,,,,,,,
npm,accepts,2.0.0,security-critical,269.0,16.0,4.0,1.0,15.0,12.0,2013-12-27T13:42:29-08:00,2026-04-02T09:03:02-07:00
npm,finalhandler,2.1.0,security-critical,409.0,13.0,2.0,2.0,47.0,44.0,2014-06-05T21:29:06-04:00,2026-03-01T11:27:09+01:00
npm,http-errors,2.0.0,security-critical,,,,,,,,
npm,content-type,1.0.5,security-critical,132.0,12.0,3.0,1.0,2.0,15.0,2015-02-01T22:04:33-05:00,2026-04-15T12:17:05-07:00
npm,path-to-regexp,8.2.0,security-critical,379.0,40.0,2.0,1.0,16.0,34.0,2012-08-01T15:46:45-07:00,2026-04-01T14:14:38-07:00
pypi,werkzeug,3.1.8,security-critical,5896.0,518.0,4.0,9.0,6.0,164.0,2007-05-04T19:38:56+02:00,2026-04-03T15:44:35-07:00
pypi,markupsafe,3.0.3,security-critical,,,,,,,,
pypi,itsdangerous,2.2.0,security-critical,,,,,,,,
pypi,idna,3.10,security-critical,390.0,26.0,0.0,2.0,187.0,36.0,2013-05-27T15:22:14-07:00,2025-10-12T08:01:23-07:00
pypi,charset-normalizer,3.4.1,security-critical,799.0,28.0,6.0,3.0,14.0,160.0,2019-08-02T17:43:21+02:00,2026-04-03T04:38:35Z
npm,inherits,2.0.4,micro-dep,34.0,7.0,0.0,2.0,174.0,1.0,2011-04-06T17:29:30-07:00,2025-10-25T12:00:59-07:00
npm,ms,2.1.3,micro-dep,189.0,43.0,0.0,9.0,233.0,26.0,2012-03-07T22:58:41-03:00,2025-08-27T09:59:34-04:00
npm,escape-html,1.0.3,micro-dep,36.0,8.0,0.0,3.0,2653.0,0.0,2012-08-16T14:29:59-07:00,2019-01-10T20:19:51-05:00
npm,merge-descriptors,2.0.0,micro-dep,65.0,6.0,0.0,1.0,848.0,0.0,2013-10-29T13:27:48-07:00,2023-12-21T21:41:18+01:00
npm,utils-merge,1.0.1,micro-dep,23.0,4.0,0.0,1.0,2130.0,0.0,2013-07-11T11:23:49-07:00,2020-06-16T17:00:43-07:00
npm,statuses,2.0.1,micro-dep,317.0,15.0,0.0,1.0,199.0,27.0,2014-03-12T18:20:34-07:00,2025-09-30T16:00:56+02:00
npm,ee-first,1.1.1,micro-dep,93.0,2.0,0.0,1.0,2872.0,0.0,2014-06-10T18:31:51-07:00,2018-06-05T23:10:59-04:00
npm,on-finished,2.4.1,micro-dep,302.0,14.0,0.0,1.0,136.0,14.0,2013-12-20T14:31:58-08:00,2025-12-02T09:24:54+01:00
npm,depd,2.0.0,micro-dep,228.0,2.0,0.0,1.0,1617.0,0.0,2014-06-15T01:12:37-04:00,2021-11-12T01:32:53-05:00
npm,fresh,2.0.0,micro-dep,231.0,21.0,1.0,2.0,47.0,13.0,2012-06-10T11:51:20-07:00,2026-03-01T11:30:35+01:00
